2022.01.11 20:30:00;CNY;1;CPI y/y;2.3%;1.7%;1.5%;;;
2022.01.11 20:30:00;CNY;1;PPI y/y;12.9%;11.3%;10.3%;;;
2022.01.12 00:00:00;JPY;1;Economy Watchers Sentiment;56.3;56.2;56.4;;;
2022.01.12 02:00:00;EUR;1;German WPI m/m;1.3%;1.2%;0.2%;;;
2022.01.12 03:30:00;CNY;1;M2 Money Supply y/y;8.5%;8.6%;9.0%;;;
2022.01.12 03:30:00;CNY;1;New Loans;1270B;1250B;1130B;;;
2022.01.12 05:00:00;EUR;1;Industrial Production m/m;-1.3%;0.1%;2.3%;;1.1%;
2022.01.12 05:35:00;EUR;1;German 30-y Bond Auction;0.08|1.1;;0.28|1.1;;;
2022.01.12 08:30:00;USD;3;CPI m/m;0.8%;0.4%;0.5%;;;
2022.01.12 08:30:00;USD;3;Core CPI m/m;0.5%;0.5%;0.6%;;;
2022.01.12 09:15:00;GBP;1;MPC Member Cunliffe Speaks;;;;;;
2022.01.12 10:30:00;USD;2;Crude Oil Inventories;-2.1M;-2.1M;-4.6M;;;
2022.01.12 13:01:00;USD;2;10-y Bond Auction;1.52|2.4;;1.72|2.5;;;
2022.01.12 14:00:00;USD;1;Beige Book;;;;;;
2022.01.12 14:00:00;USD;1;Federal Budget Balance;-191.3B;-5.8B;-21.3B;;;
2022.01.12 16:45:00;NZD;1;Building Consents m/m;-2.1%;;0.6%;;-2.0%;
2022.01.12 18:50:00;JPY;1;M2 Money Stock y/y;4.0%;3.9%;3.7%;;;
2022.01.13 00:58:00;JPY;1;Prelim Machine Tool Orders y/y;64.0%;;40.5%;;;
2022.01.13 02:03:00;CNY;1;Foreign Direct Investment ytd/y;15.9%;;14.9%;;;
2022.01.13 03:45:00;GBP;1;MPC Member Mann Speaks;;;;;;
2022.01.13 04:00:00;EUR;1;ECB Economic Bulletin;;;;;;
2022.01.13 04:00:00;EUR;1;Italian Industrial Production m/m;-0.5%;0.4%;1.9%;;-0.6%;
2022.01.13 04:30:00;GBP;1;BOE Credit Conditions Survey;;;;;;
2022.01.13 08:30:00;USD;3;PPI m/m;0.8%;0.4%;0.2%;;;
2022.01.13 08:30:00;USD;2;Core PPI m/m;0.7%;0.5%;0.5%;;;
2022.01.13 08:30:00;USD;2;Unemployment Claims;207K;199K;230K;;;
2022.01.13 10:00:00;USD;2;FOMC Member Brainard Speaks;;;;;;
2022.01.13 10:30:00;USD;1;Natural Gas Storage;-31B;-175B;-179B;;;
2022.01.13 13:01:00;USD;2;30-y Bond Auction;1.90|2.2;;2.08|2.4;;;
2022.01.13 18:50:00;JPY;1;PPI y/y;9.2%;8.8%;8.5%;;9.0%;
2022.01.13 21:58:00;CNY;1;USD-Denominated Trade Balance;71.7B;73.9B;94.5B;;;
2022.01.13 22:08:00;CNY;1;Trade Balance;461B;454B;605B;;;
2022.01.14 02:00:00;GBP;1;Construction Output m/m;-1.7%;0.6%;3.5%;;-1.8%;
2022.01.14 02:00:00;GBP;1;GDP m/m;0.2%;0.4%;0.9%;;0.1%;
2022.01.14 02:00:00;GBP;1;Goods Trade Balance;-11.8B;-14.3B;-11.3B;;-13.9B;
2022.01.14 02:00:00;GBP;1;Index of Services 3m/3m;1.2%;1.1%;1.3%;;1.1%;
2022.01.14 02:00:00;GBP;1;Industrial Production m/m;-0.5%;0.2%;1.0%;;-0.6%;
2022.01.14 02:00:00;GBP;1;Manufacturing Production m/m;0.1%;0.2%;1.1%;;0.0%;
2022.01.14 02:45:00;EUR;1;French Final CPI m/m;0.2%;0.2%;0.2%;;0.2%;
2022.01.14 02:45:00;EUR;1;French Gov Budget Balance;-171.6B;;-181.0B;;;
2022.01.14 05:00:00;EUR;1;Trade Balance;1.8B;1.5B;-1.3B;;2.4B;
2022.01.14 08:15:00;EUR;2;ECB President Lagarde Speaks;;;;;;
2022.01.14 08:30:00;USD;3;Core Retail Sales m/m;0.1%;0.2%;-2.3%;;0.3%;
2022.01.14 08:30:00;USD;3;Retail Sales m/m;0.2%;0.0%;-1.9%;;0.3%;
2022.01.14 08:30:00;USD;1;Import Prices m/m;0.7%;0.2%;-0.2%;;;
2022.01.14 09:15:00;USD;2;Industrial Production m/m;0.7%;0.2%;-0.1%;;0.5%;
2022.01.14 09:15:00;USD;1;Capacity Utilization Rate;76.6%;77.1%;76.5%;;76.8%;
2022.01.14 09:30:00;GBP;1;CB Leading Index m/m;0.1%;;0.2%;;0.0%;
2022.01.14 09:57:00;GBP;1;NIESR GDP Estimate;1.1%;;1.2%;;0.9%;
2022.01.14 10:00:00;USD;2;Prelim UoM Consumer Sentiment;70.6;70.0;68.8;;70.4;
2022.01.14 10:00:00;USD;1;Business Inventories m/m;1.3%;1.3%;1.3%;;1.2%;
2022.01.14 10:00:00;USD;1;Prelim UoM Inflation Expectations;4.8%;;4.9%;;4.9%;
2022.01.14 11:00:00;USD;1;FOMC Member Williams Speaks;;;;;;
2022.01.16 18:50:00;JPY;1;Core Machinery Orders m/m;3.8%;1.3%;3.4%;;;
2022.01.16 19:01:00;GBP;1;Rightmove HPI m/m;-0.7%;;0.3%;;;
2022.01.16 21:00:00;CNY;3;GDP q/y;4.9%;3.3%;4.0%;;;
2022.01.16 21:00:00;CNY;2;Retail Sales y/y;3.9%;3.8%;1.7%;;;
2022.01.16 21:00:00;CNY;1;Fixed Asset Investment ytd/y;5.2%;4.9%;4.9%;;;
